"kernel","gamma","cost","train_nmse","train_rmse","test_nmse","test_rmse"
"radial",0.01,0.1,0.583275879193271,0.763709100263651,0.588396546532563,0.766829598061419
"radial",0.01,0.5,0.532707935766416,0.729853237070015,0.544897184167467,0.737912619909927
"radial",0.01,1,0.511317983967558,0.715049689082931,0.528577696203692,0.726774711492321
"radial",0.1,0.1,0.507022649167442,0.712040798541582,0.559325594622659,0.747714881388764
"radial",0.1,0.5,0.316872716026985,0.562899830103275,0.453902628740092,0.673463024643052
"radial",0.1,1,0.235326281928036,0.48508818936017,0.423591256130356,0.650557031618074
"radial",1,0.1,0.918072631833503,0.958141940580838,1.04969744424492,1.02416173798615
"radial",1,0.5,0.531866312771071,0.729277706131658,1.01326471316153,1.00624381745055
"radial",1,1,0.272176916504292,0.521693970861666,0.96388507181488,0.981443215360645
